customer_id,first_name,last_name,email,phone,date_of_birth,gender,created_at,updated_at
1,Ravi,Upreti,ravi.upreti656@yahoo.com,+977-986-7637953,1972-01-19,Female,2024-01-06 18:14:46,2024-01-14 18:14:46
2,Maya,Tamang,maya.tamang58@outlook.com,+977-983-6409719,1991-01-27,Female,2023-10-05 04:31:35,2023-10-17 04:31:35
3,Sushma,Thapa,sushma.thapa122@hotmail.com,+977-987-7070103,1970-03-06,Male,2024-10-06 02:35:46,2024-10-21 02:35:46
4,Santosh,Shrestha,santosh.shrestha394@email.com,+977-981-4550651,1982-04-30,Female,2025-03-08 01:27:53,2025-03-30 01:27:53
5,Maya,Pradhan,maya.pradhan328@outlook.com,+977-989-7975783,1984-02-03,Male,2023-12-08 03:39:00,2023-12-31 03:39:00
6,Santosh,Maharjan,santosh.maharjan419@hotmail.com,+977-988-2685405,1998-12-16,Male,2023-08-23 02:28:28,2023-09-10 02:28:28
7,Bijay,Dahal,bijay.dahal903@email.com,+977-986-5588387,1998-12-14,Female,2023-10-23 10:15:46,2023-11-21 10:15:46
8,Maya,Sharma,maya.sharma754@email.com,+977-986-8249083,2006-03-25,Female,2024-02-21 14:46:28,2024-03-19 14:46:28
9,Bikash,Panta,bikash.panta163@email.com,+977-983-1667138,1960-06-06,Male,2025-03-10 12:34:13,2025-03-25 12:34:13
10,Ashok,Poudel,ashok.poudel8@gmail.com,+977-982-1115292,1989-04-25,Female,2024-05-12 16:24:45,2024-05-12 16:24:45
11,Rajan,Poudel,rajan.poudel232@hotmail.com,+977-985-8755770,1956-07-16,Male,2025-04-27 04:09:58,2025-05-09 04:09:58
12,Roshan,Pandey,roshan.pandey271@hotmail.com,+977-981-3789124,1965-07-24,Female,2025-05-03 01:06:16,2025-05-07 01:06:16
13,Laxmi,Kafle,laxmi.kafle729@hotmail.com,+977-981-2086561,1977-12-24,Male,2024-06-17 11:47:42,2024-07-03 11:47:42
14,Naresh,Ojha,naresh.ojha10@outlook.com,+977-981-9743028,1968-06-29,Male,2024-09-14 19:13:14,2024-09-24 19:13:14
15,Sita,Chapagain,sita.chapagain936@yahoo.com,+977-986-2013937,1974-10-13,Female,2024-09-11 05:17:38,2024-09-26 05:17:38
16,Sushma,Kafle,sushma.kafle649@outlook.com,+977-985-4179549,1963-05-27,Male,2024-05-02 00:28:16,2024-05-31 00:28:16
17,Puja,Regmi,puja.regmi155@email.com,+977-987-7347918,1975-10-26,Female,2023-09-12 18:36:30,2023-09-25 18:36:30
18,Nirmala,Limbu,nirmala.limbu614@outlook.com,+977-985-5966736,1985-12-08,Male,2024-04-11 17:35:57,2024-05-05 17:35:57
19,Rajesh,Koirala,rajesh.koirala754@email.com,+977-980-3885869,1957-12-09,Male,2024-12-31 12:06:48,2025-01-23 12:06:48
20,Devi,Adhikari,devi.adhikari758@outlook.com,+977-983-1857966,1961-03-25,Female,2023-12-05 14:32:03,2023-12-29 14:32:03
21,Geeta,Joshi,geeta.joshi973@email.com,+977-982-3701544,1977-12-31,Female,2023-07-27 14:08:21,2023-08-15 14:08:21
22,Arjun,Panta,arjun.panta79@hotmail.com,+977-985-1859980,1972-01-23,Male,2024-09-24 13:17:10,2024-10-07 13:17:10
23,Arjun,Khadka,arjun.khadka886@hotmail.com,+977-985-2067137,1987-11-26,Male,2025-06-04 08:07:22,2025-06-24 08:07:22
24,Sunita,Joshi,sunita.joshi156@gmail.com,+977-981-6900020,1966-05-07,Female,2024-04-19 22:37:44,2024-05-14 22:37:44
25,Nirmala,Koirala,nirmala.koirala941@hotmail.com,+977-984-4117973,1990-09-16,Male,2023-08-24 20:19:03,2023-09-03 20:19:03
26,Ravi,Dhakal,ravi.dhakal173@email.com,+977-981-9629636,1968-12-26,Female,2024-12-06 03:16:33,2024-12-30 03:16:33
27,Gita,Tiwari,gita.tiwari355@yahoo.com,+977-988-4250575,1970-09-06,Male,2024-03-18 20:14:40,2024-04-08 20:14:40
28,Rajesh,Sharma,rajesh.sharma395@hotmail.com,+977-986-4342299,1975-05-15,Male,2023-08-12 12:28:32,2023-09-05 12:28:32
29,Geeta,Ojha,geeta.ojha271@gmail.com,+977-988-9919873,1980-09-17,Male,2024-09-24 03:29:33,2024-09-25 03:29:33
30,Sushma,Sharma,sushma.sharma632@outlook.com,+977-986-4246483,1969-01-09,Female,2023-09-15 01:18:00,2023-09-17 01:18:00
31,Deepak,Acharya,deepak.acharya866@email.com,+977-987-7392937,1963-03-29,Female,2025-05-22 19:58:09,2025-06-19 19:58:09
32,Santosh,Dahal,santosh.dahal9@yahoo.com,+977-987-6327813,1967-12-12,Female,2025-03-12 18:07:17,2025-03-20 18:07:17
33,Ravi,Sapkota,ravi.sapkota732@outlook.com,+977-985-5334938,1990-09-10,Male,2024-12-11 07:13:57,2024-12-18 07:13:57
34,Laxmi,Khadka,laxmi.khadka881@outlook.com,+977-986-7364742,1997-01-07,Male,2024-02-12 22:49:42,2024-02-26 22:49:42
35,Mahesh,Gurung,mahesh.gurung263@email.com,+977-984-5946723,2006-12-14,Female,2024-05-25 17:11:40,2024-06-09 17:11:40
36,Devi,Acharya,devi.acharya909@outlook.com,+977-982-4557644,1966-05-14,Male,2025-01-27 08:16:19,2025-02-17 08:16:19
37,Prakash,Tiwari,prakash.tiwari926@gmail.com,+977-981-7500687,1997-10-30,Female,2024-07-04 01:58:55,2024-07-11 01:58:55
38,Maya,Dhakal,maya.dhakal11@hotmail.com,+977-987-6699818,1994-04-22,Female,2024-08-12 21:30:15,2024-08-14 21:30:15
39,Dinesh,Panta,dinesh.panta634@outlook.com,+977-987-9149660,2001-12-03,Female,2023-08-28 23:05:09,2023-09-15 23:05:09
40,Ravi,Koirala,ravi.koirala595@hotmail.com,+977-981-5879072,1982-11-30,Male,2025-04-08 16:49:28,2025-05-05 16:49:28
41,Radha,Ojha,radha.ojha252@email.com,+977-983-4128354,1983-06-23,Male,2024-02-03 00:02:44,2024-02-11 00:02:44
42,Bikash,Sapkota,bikash.sapkota636@hotmail.com,+977-986-4324775,1968-07-28,Male,2023-08-01 14:40:58,2023-08-05 14:40:58
43,Binod,Adhikari,binod.adhikari959@hotmail.com,+977-983-9974083,1966-11-18,Female,2024-06-18 19:29:33,2024-07-03 19:29:33
44,Manoj,Joshi,manoj.joshi834@hotmail.com,+977-981-7567182,1982-11-29,Male,2025-03-13 07:25:56,2025-03-29 07:25:56
